u,g,r,i,z,cluster
23.96359,24.41554,21.92542,20.89438,19.96155,1
21.2555,21.08849,20.97834,20.77301,20.56856,1
23.2759,23.0599,21.89798,21.26267,21.73729,1
22.03466,21.07686,19.31867,18.60666,18.23209,2
21.22157,19.41812,18.02884,17.51454,17.16425,0
19.68827,19.1832,18.96405,18.85488,18.47279,2
21.5465,20.91997,20.60859,20.57628,20.39965,1
18.69861,17.69766,17.38024,17.24881,17.1924,0
21.8928,21.60464,21.55008,21.2218,22.05654,1
23.64962,22.03111,20.31378,19.43981,19.01292,2
21.86263,20.67101,20.13649,19.91774,19.69542,2
21.3387,19.0399,17.76558,17.26114,16.90088,0
21.36455,18.57949,17.36703,16.88524,16.53531,0
20.01235,18.28911,17.29588,16.88669,16.49987,0
18.94978,17.83358,17.95119,18.05661,18.14714,0
22.97069,21.01578,19.30507,18.61456,18.28072,2
22.02297,22.13993,21.51081,21.11905,21.00533,1
22.35792,21.6278,21.64823,21.58624,20.83654,1
25.87223,23.09995,21.18614,20.17614,19.44901,1
19.10456,17.6723,16.83927,16.44493,16.13981,0
20.56989,19.14056,17.67113,17.08264,16.74478,0
20.7679,19.42129,18.87856,18.60805,18.54163,2
24.86817,23.0288,21.96947,20.73828,19.83766,1
22.62376,22.1509,20.75353,19.79581,19.44757,1
23.04489,22.16071,22.0518,22.03868,21.49327,1
19.67333,19.4618,19.24023,18.84024,18.78913,2
18.50893,16.70466,15.88784,15.50545,15.1911,0
21.34455,20.51088,20.70645,20.575,20.18844,1
23.7105,22.09719,22.13922,21.84691,21.34315,1
22.93596,22.60199,22.08945,22.00895,21.09005,1
19.09904,17.11235,16.17215,15.73516,15.39259,0
19.86492,18.76336,18.02224,17.61247,17.40483,0
26.75735,22.32058,20.35013,19.45007,18.93704,1
18.08053,17.13013,16.81569,16.69053,16.72546,0
23.54636,22.26545,20.36244,19.23111,18.71427,2
23.89914,21.76063,20.131,19.17431,18.75232,2
21.74897,21.19623,20.94348,20.94402,20.9121,1
22.86838,21.70371,20.29219,19.45153,19.10851,2
20.51667,21.01278,20.52191,20.52027,20.24913,2
21.34447,21.02176,21.03506,20.84642,20.79233,1
22.98905,23.6493,22.42048,21.93998,21.16948,1
24.55065,21.71045,21.0742,20.80229,20.80465,1
23.60238,21.90687,20.43188,19.51888,18.98133,2
20.74133,18.60319,17.39311,16.81016,16.33604,0
19.40641,19.24021,19.0329,18.71964,18.88452,2
25.86789,22.41307,20.73571,19.74916,19.34292,1
19.71531,18.23014,17.66702,17.43539,17.32842,0
19.88049,18.30123,17.44415,16.9811,16.63008,0
21.37551,18.89285,17.81823,17.38904,17.13816,0
23.38651,21.65629,19.99726,19.1657,18.75252,2
24.52198,22.53954,21.28807,20.4157,19.82535,1
20.93396,18.43225,17.42794,17.06519,16.85792,0
19.03104,17.52583,16.56656,16.10422,15.83872,0
22.50668,21.40731,20.40058,19.74799,19.3539,2
19.86664,17.9671,16.9085,16.37795,15.94078,0
22.99462,22.25595,20.49125,19.51674,19.06386,2
19.41594,17.59658,16.63449,16.20381,15.85774,0
20.26051,18.87403,17.76582,17.26971,16.88643,0
17.9717,16.85347,16.46747,16.32272,16.26866,0
23.15094,20.95816,19.22631,18.57619,18.1608,2
19.28134,18.34284,18.08902,17.98602,17.92988,0
22.51402,21.96402,21.35599,20.61766,20.49131,1
19.5884,17.92996,17.03557,16.61028,16.32954,0
25.54904,21.82174,21.38288,21.19929,21.26891,1
23.84299,21.15363,20.04997,19.34094,19.28613,2
22.01658,21.30978,20.79478,20.68099,19.82535,1
26.47479,21.85172,20.19826,19.10199,18.53532,1
20.62624,19.00527,18.32192,18.05798,17.92443,2
22.68808,21.48761,21.0379,21.08747,20.62813,1
19.87143,19.37306,19.31923,19.20224,19.20164,2
24.8661,22.33631,20.49795,19.68369,19.16958,1
26.0967,23.51873,21.85379,20.70009,19.82554,1
24.3801,19.65418,18.01773,17.41869,17.04237,2
20.07012,17.93304,16.85264,16.38637,16.00602,0
22.81203,21.23843,19.97923,19.20214,18.6813,2
21.86967,21.50635,21.04852,20.95374,20.55828,1
22.33778,21.7539,20.36438,19.4862,18.96696,2
23.08811,21.56875,19.70753,18.9122,18.42177,2
22.94869,23.27895,21.45857,20.22781,19.57875,1
25.02617,20.5312,18.85663,18.23263,17.97294,2
24.19767,21.72329,20.28746,19.44221,18.89406,2
24.74944,21.2922,19.60184,18.73308,18.31985,2
22.85061,21.30376,20.77436,20.70901,20.28636,1
19.23413,17.90192,18.03186,18.18247,18.20958,0
22.07009,20.98265,19.95872,19.1933,18.76466,2
21.52358,21.17507,21.1086,20.85386,20.9605,1
23.08447,23.01563,22.03595,21.60019,21.24582,1
23.92737,21.7882,20.41917,19.54448,19.18724,1
19.95137,18.48534,17.60501,17.17831,16.9333,0
23.11665,21.69268,20.973,20.5027,20.09035,1
23.49286,20.78678,18.97211,18.30455,17.83965,2
19.13382,17.22368,16.14992,15.70482,15.33667,0
19.82144,18.35172,17.76452,17.35106,17.10939,0
19.65475,19.46412,18.87806,18.32969,18.32364,2
18.78214,17.01769,16.15524,15.71596,15.41811,0
23.20684,20.71025,18.99701,18.33107,17.9275,2
21.4243,19.73696,18.79502,17.80861,17.43852,2
24.38748,22.09823,21.95679,22.29062,21.5392,1
17.21559,16.16484,15.82497,15.58278,15.40152,0
24.63465,22.67063,20.25895,20.27274,22.8269,1
19.92134,19.90422,19.65154,19.64419,19.75408,2
22.73265,22.79108,21.04196,19.67326,19.27934,1
23.62046,22.68113,23.89268,21.79831,22.54736,1
24.13672,21.28637,19.62423,18.68356,18.03717,2
24.80013,21.74859,20.01723,18.91951,18.58195,2
21.54908,20.25068,20.22151,20.28047,20.19057,2
19.64262,17.95175,17.06969,16.60949,16.23162,0
21.2344,19.99391,19.80719,19.66509,19.87516,2
22.63838,19.84774,18.32905,17.78757,17.38098,2
22.46088,21.63122,20.38381,19.57975,19.18116,2
23.94509,23.66234,22.29408,20.79943,18.9724,1
23.55494,22.82246,21.96601,21.09736,20.65625,1
24.33198,22.79774,21.66164,20.63643,19.94982,1
22.2231,21.18035,20.6987,20.05399,20.12396,1
22.47096,20.82272,20.64627,20.63993,20.32498,1
21.45725,21.3763,21.27565,21.03561,20.88457,1
19.55564,18.60287,18.25922,18.17017,18.05904,0
25.67888,22.84917,21.13791,19.92619,19.26786,1
19.52755,18.06699,17.01898,16.53869,16.22557,0
